unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13780310,JJ187459,2025-03-19,052Xx N Lincoln Ave,1330,Criminal Trespass,To Land,Other (Specify),True,False,2011,20,40,4,26,1158543.0,1934531.0,2025,2025-03-27,41.976095027,-87.692350085,41.976095027,-87.692350085
13780614,JJ187436,2025-03-19,061Xx N Karlov Ave,041A,Battery,Aggravated - Handgun,Street,False,False,1711,17,39,12,04B,1147909.0,1940461.0,2025,2025-03-27,41.99257901,-87.731302451,41.99257901,-87.731302451
13780534,JJ187534,2025-03-19,054Xx S Archer Ave,0860,Theft,Retail Theft,Small Retail Store,False,False,814,8,23,56,06,1145070.0,1869741.0,2025,2025-03-27,41.798569683,-87.743533609,41.798569683,-87.743533609
13780326,JJ187500,2025-03-19,018Xx S Hamlin Ave,0890,Theft,From Building,Apartment,False,False,1014,10,24,29,06,1151342.0,1890849.0,2025,2025-03-27,41.856372462,-87.719979948,41.856372462,-87.719979948
13780645,JJ187546,2025-03-19,067Xx S Cregier Ave,0890,Theft,From Building,Residence - Porch / Hallway,False,False,332,3,5,43,06,1189362.0,1860657.0,2025,2025-03-27,41.772693739,-87.581398165,41.772693739,-87.581398165
13780312,JJ187472,2025-03-19,006Xx N Troy St,2093,Narcotics,Found Suspect Narcotics,Residence - Yard (Front / Back),False,False,1221,12,27,23,18,1155263.0,1904062.0,2025,2025-03-27,41.892552538,-87.705232851,41.892552538,-87.705232851
13781460,JJ188655,2025-03-19,005Xx E 35Th St,1310,Criminal Damage,To Property,School - Public Building,False,False,212,2,4,35,14,1180355.0,1881901.0,2025,2025-03-27,41.831200469,-87.613763088,41.831200469,-87.613763088
13780418,JJ187591,2025-03-19,003Xx E 63Rd St,5111,Other Offense,Gun Offender - Annual Registration,Vehicle Non-Commercial,True,False,312,3,20,69,26,1179479.0,1863310.0,2025,2025-03-27,41.780205242,-87.617545241,41.780205242,-87.617545241
13782174,JJ187494,2025-03-19,007Xx E 38Th St,0486,Battery,Domestic Battery Simple,Apartment,False,True,212,2,4,36,08B,1181586.0,1879937.0,2025,2025-03-27,41.825782729,-87.609307244,41.825782729,-87.609307244
13780536,JJ187557,2025-03-19,044Xx W 55Th St,0820,Theft,$500 And Under,Apartment,False,False,813,8,13,62,06,1147533.0,1867767.0,2025,2025-03-27,41.793105989,-87.73455157,41.793105989,-87.73455157
13780588,JJ187892,2025-03-19,021Xx W 22Nd Pl,0560,Assault,Simple,Alley,False,True,1034,10,25,31,08A,1162464.0,1889052.0,2025,2025-03-27,41.851216044,-87.679206572,41.851216044,-87.679206572
